Parent Container,Container Id,Container Type,Dwell Time,Container Count,Stacking Filter,Force Moved Status,Scheduled Departure Time
"CART_00g2xrmv_S","SBqT6qb09X_001_v","PACKAGE","3 hrs 32 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBsp9yqfVX_001_v","PACKAGE","2 hrs 19 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBB49sLfBX_001_v","PACKAGE","7 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB7mtxjfdX_001_v","PACKAGE","49 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBq6Lz1ftX_001_v","PACKAGE","1 hr 57 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBhG2YF00X_001_v","PACKAGE","4 hrs 41 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBWD67tLQX_001_v","PACKAGE","5 hrs 4 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB7rlSGfPX_001_v","PACKAGE","42 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBH8Qfk0gX_001_v","PACKAGE","2 hrs ","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBkW9JgfZX_001_v","PACKAGE","19 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBtxxh5L7X_001_v","PACKAGE","4 hrs 30 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBqDwzdf5X_001_v","PACKAGE","1 hr 40 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBhP7M00hX_001_v","PACKAGE","4 hrs 55 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SV9nRH9qCf_001_v","PACKAGE","4 hrs 19 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB7Rzdh0kX_001_v","PACKAGE","2 hrs 2 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBq63JQLmX_001_v","PACKAGE","4 hrs 44 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBkRvm900X_001_v","PACKAGE","54 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBBdP2dfmX_001_v","PACKAGE","1 hr 16 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBHSFMxP3X_001_v","PACKAGE","2 hrs 38 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBt5tQrfqX_001_v","PACKAGE","32 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBHCHJ2fJX_001_v","PACKAGE","1 hr 51 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBxFjjq0nX_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBkP0Sr0rX_001_v","PACKAGE","2 hrs 27 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB4NplCfzX_001_v","PACKAGE","7 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBHz8cYfQX_001_v","PACKAGE","19 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBfDXFqfLX_001_v","PACKAGE","45 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBfLjYRfJX_001_v","PACKAGE","1 hr 46 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBfGJct02X_001_v","PACKAGE","3 hrs 48 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBvx60C0HX_001_v","PACKAGE","1 hr 32 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB4qscP0XX_001_v","PACKAGE","3 hrs 58 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBv70d3fcX_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBt9DJJ0pX_001_v","PACKAGE","3 hrs 53 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBt3SD5fVX_001_v","PACKAGE","34 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBfQK0CfGX_001_v","PACKAGE","9 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBsHLlh0tX_001_v","PACKAGE","1 hr 43 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBvs8K1LzX_001_v","PACKAGE","4 hrs 45 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB7ThCJ0rX_001_v","PACKAGE","2 hrs 22 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBH809v0JX_001_v","PACKAGE","4 hrs 1 min","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB44BqjsPX_001_v","PACKAGE","5 hrs 13 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB4bpx70RX_001_v","PACKAGE","2 hrs 39 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"","FR-10410","STACKING_AREA","","1 items","","false","null",
"FR-10410","CART_00p1yrpr_S","CART","2 hrs 40 mins","35 items","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBB70Bt0RX_001_v","PACKAGE","40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBfJxDNfbX_001_v","PACKAGE","1 hr 37 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBq1wzNf1X_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBkfrlN0qX_001_v","PACKAGE","39 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SB7F19RCSX_001_v","PACKAGE","41 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBsdZQ80DX_001_v","PACKAGE","40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBWq54SfDX_001_v","PACKAGE","40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBx2yPq0mX_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBWrYcQfYX_001_v","PACKAGE","32 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBx61xwf8X_001_v","PACKAGE","32 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBfNBnQ0CX_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBWK0yxrCX_001_v","PACKAGE","39 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
